boss_name,categories,series,notes,rarity,image,attributes
プライド・トルーパーズ,宇宙サバイバル編,,,UR,プライド・トルーパーズ.png,超速|超技|超力|極速|極技|極力
究極の人造人間 超17号,ドラゴンボールを求めし者,,,UR,究極の人造人間.png,超速|超技|超知|超体
全てを超える魔人 魔人ブウ(純粋),純粋サイヤ人,,,UR,全てを超える魔人.png,超知|超体
暗黒の仮面 仮面のサイヤ人,リベンジ,,,UR,暗黒の意思.png,超速|超技|超知
悪を砕く光 超ゴジータ,劇場版BOSS,,,UR,悪を砕く光.png,極知|極体
邪悪な侵犯 スーパージャネンバ,フュージョン,,,UR,邪悪な侵犯.png,超速|超知
宿命のライバル編2,フルパワー,,,UR,宿命のライバル編2.png,超技|超力|超体|極技|極力|極体
"超次元の極意 孫悟空(身勝手の極意""兆"")",急激な成長,,,UR,超次元の極意.png,超知|超力|超体|極知|極力|極体
LR 奇跡の決着 孫悟空&フリーザ(最終形態)(天使),宇宙サバイバル編,,,LR,奇跡の決着.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
打倒超戦士編,人工生命体,,,UR,打倒超戦士編.png,極速|極技|極力
宇宙一の大暴走 超サイヤ人3ゴテンクス,少年・少女,,,UR,宇宙一の大暴走.png,超技|超力
LR 不滅の最凶戦士 伝説の超サイヤ人ブロリー,混血サイヤ人,,,LR,不滅の最凶戦士.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
幻魔人が眠る身体 タピオン(ヒルデガーン),つながる希望,,,UR,幻魔人が眠る身体.png,超速|超技|超知|極速|極技|極知
宿命のライバル編3,人工生命体,,,UR,宿命のライバル編3.png,超速|超技|超知|極速|極技|極知
地獄の幕開け クウラ(最終形態),超サイヤ人,,,UR,地獄の幕開け.png,超速|超力
LR 全身全霊のかめはめ波 超サイヤ人2孫悟飯(少年期),人造人間/セル編,,,LR,全身全霊のかめはめ波.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
驚異の超変身 超サイヤ人3孫悟空(天使),魔人の力,,,UR,驚愕の超変身.png,極技|極知|極力|極体
凍てつく威光 フリーザ（第一形態),伝説の存在,,,UR,凍てつく威光.png,超技|超知|超力|超体
ヒロインコレクション編,ピチピチギャル,,,UR,ヒロインコレクション.png,超技|超知|超力|超体|極技|極知|極力
LR 凄絶な光の彼方に 魔人ベジータ,超サイヤ人2,,,LR,凄絶な光の彼方に.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
熱く震える力 超サイヤ人孫悟空,永遠の宿敵,,,UR,熱く震える力.png,極速|極技|極知
LR 宇宙に輝く命 バーダック,恐怖の征服,,,LR,宇宙に輝く命.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
大猿編,大猿パワー,,,UR,大猿編.png,超速|超技|超知|超力|極速|極技|極知|極力
殺し屋の極意 ヒット,力戦奮闘,,,UR,殺し屋の極意.png,超知|超力|超体
ドラゴンボールファイターズ編,クロスオーバー,,,UR,ドラゴンボールファイターズ編.png,超速|超技|超知|超体|極速|極技|極知|極体
LR ふたりめの超サイヤ人 超サイヤ人トランクス(青年期),宇宙をわたる戦士,,,LR,ふたりめの超サイヤ人.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
絶望に立ち向かう力 超サイヤ人孫悟飯(未来),人造人間,,,UR,絶望に立ち向かう力.png,極速|極技|極力
DBフュージョンズ編,クロスオーバー,,,UR,DBフュージョンズ編.png,超速|超技|超知|超体|極速|極技|極知|極体
DBフュージョンズ編2,フュージョン,,,UR,DBフュージョンズ編2.png,超速|超知|超力|超体|極速|極知|極力|極体
LR 希望の星 トランクス(幼年期)&孫悟天(幼年期),天才戦士,,,LR,超サイヤ人4ゴジータVS超一星龍.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
宿命のライバル編4,純粋サイヤ人,,,UR,宿命のライバル編4.png,超速|超知|超力|超体|極速|極知|極力|極体
超サイヤ人4ゴジータVS超一星龍,邪悪龍編,,,UR,超サイヤ人4ゴジータVS超一星龍.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR ふたつの力の融合 超サイヤ人孫悟空(天使)&超サイヤ人ベジータ(天使),融合/合体戦士,,,LR,ふたつの力の融合.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 合体する超パワー 超サイヤ人孫悟空&超サイヤ人ベジータ,最後の切り札,,,LR,合体する超パワー.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 宿命のライバル編5,超サイヤ人を超えた力,,,LR,宿命のライバル編5.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
誇りの遵守 超サイヤ人ゴッドSSベジータ,体得した進化,,,UR,誇りの遵守.png,超技|超力|超体|極技|極力|極体
LR ドッカンオールスター,,,,LR,ドッカンオールスター.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
爆発的な進化 ターレス,下級戦士,,,UR,爆発的な進化.png,超速|超技|超知|超体
潜在パワーのすべて アルティメット孫悟飯,魔人ブウ編,,,UR,潜在パワーのすべて.png,極速|極技|極知|極力|極体
LR 死を呼ぶセルゲーム セル(完全体)&セルジュニア,託された意志,,,LR,死を呼ぶセルゲーム.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
帝王の真の輝き ゴールデンフリーザ(天使),正義の味方,,,UR,帝王の真の輝き.png,超速|超知|超力|超体
青き合体と薔薇色の超サイヤ人,未来編,,,UR,青き合体と薔薇色の超サイヤ人.png,超技|超知|超力|超体|極技|極知|極体
LR 未来への希望と約束 トランクス(青年期)(未来)&マイ(未来),世界の混乱,,,LR,未来への希望と約束.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 容赦なき断罪 ゴクウブラック(超サイヤ人ロゼ)&ザマス,命運をかけた闘い,,,LR,容赦なき断罪.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
希望を背負った一撃 超フルパワーサイヤ人4孫悟空,GT BOSS,,,UR,希望を背負った一撃.png,極速|極技|極知|極力|極体
LR まだまだ続くアドベンチャー 孫悟空(GT)&パン(GT)&トランクス(GT),親友の絆,,,LR,まだまだ続くアドベンチャー.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
ヒロインコレクション編2,ピチピチギャル,,,UR,ヒロインコレクション編2.png,超速|超知|超力|超体|極速|極知|極力|極体
極限の怒り 孫悟空,フルパワー,,,UR,極限の怒り.png,極速|極技|極知|極力|極体
LR 生き残りをかけた最終攻撃 フリーザ(フルパワー),ナメック星編,,,LR,生き残りをかけた最終攻撃.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
ビッグゲテスターとの融合 メタルクウラ,再起する力,,,UR,ビッグゲテスターとの融合.png,超技|超知|超体|極技|極知|極体
とびっきりの究極パワー クウラ,怒り爆発,,,UR,とびっきりの究極パワー.png,超速|超技|超力|超体
すべてをかけた拳 孫悟空(少年期),リベンジ,,,UR,すべてをかけた拳.png,超速|超知|超力|超体|極速|極知|極力|極体
サイヤ人の力の証明 超サイヤ人3バーダック,語り継がれし者,,,UR,サイヤ人の力の証明.png,超技|超知|超力|超体|極知|極力|極体
LR 銀河ギリギリの侵略 フルパワーボージャック(銀河戦士),託された意志,,,LR,銀河ギリギリの侵略.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
全てを超えた最強の融合 超サイヤ人ゴジータ,劇場版BOSS,,,UR,全てを超えた最強の融合.png,極速|極技|極知|極体
戦闘民族の終わりなき進化 超サイヤ人ブロリー,劇場版HERO,,,UR,戦闘民族の終わりなき進化.png,超速|超技|超力|超体
神次元の闘い編,神次元,,,UR,神次元の戦い編.png,超速|超知|超力|超体|極速|極知|極力|極体
LR 目覚める真の力 超サイヤ人孫悟飯(少年期),人造人間/セル編,,,LR,目覚める真の力.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 完全体の真価 セル(完全体),かめはめ波,,,LR,完全体の真価.png,超速|超知|超力|超体|極速|極知|極力|極体
LR よみがえる伝説 超サイヤ人ゴッド孫悟空,怒り爆発,,,LR,よみがえる伝説.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
無限の輝き 超ベジット,変身強化,,,UR,無限の輝き.png,極速|極力|極体
驚異の吸収能力 魔人ブウ(悪),ポタラ,,,UR,驚異の吸収能力.png,超速|超技|超知|超力
LR 奇跡を起こす超サイヤ人 超サイヤ人孫悟空,ターゲット孫悟空,,,LR,奇跡を起こす超サイヤ人.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
とっておきの超パワー 超サイヤ人ゴッドSS孫悟空(界王拳),高速戦闘,,,UR,とっておきの超パワー.png,極速|極技|極力
LR 究極最強の融合 ゴジータ,純粋サイヤ人,,,LR,究極最強の融合.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 究極無敵の合体 ベジット,神次元,,,LR,究極無敵の合体.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 破壊による世界調和 ビルス&ウイス,伝説の存在,,,LR,破壊による世界調和.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
死力を尽くしたサバイバル 人造人間17号,宇宙サバイバル編,,,UR,死力を尽くしたサバイバル.png,超技|超力|超体|極技|極力|極体
LR ふたりは全宇宙最強 超サイヤ人2カリフラ&超サイヤ人2ケール,第7宇宙代表,,,LR,ふたりは全宇宙最強.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
神と大魔王の融合 ピッコロ,力の吸収,,,UR,神と大魔王の融合.png,極速|極技|極力|極体
LR 奇跡を呼ぶ大激闘 超サイヤ人孫悟飯(青年期)&超サイヤ人孫悟天(幼年期),惑星破壊,,,LR,奇跡を呼ぶ大激闘.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
激情の破壊神 ビルス,願いの力,,,UR,激情の破壊神.png,超技|超力|超体|極技|極力|極体
GT編,GT HERO,,,UR,GT編.png,超速|超知|超力|超体|極速|極力|極体
限りない戦闘力 超サイヤ人ベジータ,永遠の宿敵,,,UR,限りない戦闘力.png,極速|極知|極力|極体
ヒロインコレクション編3,ピチピチギャル,,,UR,ヒロインコレクション編3.png,超速|超技|超力|超体|極速|極技|極力|極体
LR 究極の邪悪生命体 スーパーベビー2（大猿ベビー),フルパワー,,,LR,究極の邪悪生命体.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
未来を守る強靭な意思 トランクス(青年期)(未来),時空を超えし者,,,UR,未来を守る強靭な意思.png,極速|極技|極知|極力|極体
神の真の力 ザマス,命運をかけた闘い,,,UR,神の真の力.png,超速|超技|超知|超力|超体
義勇の戦士 孫悟飯(未来),人造人間,,,UR,義勇の戦士.png,極速|極知|極力|極体
未来編,未来編,,,UR,未来編.png,超技|超知|超体|極速|極技|極知|極体
気高き美しさの頂点 ゴクウブラック,孫悟空の系譜,,,UR,気高き美しさの頂点.png,超速|超知|超力|超体
LR 万物を裁く力の証明,ベジータの系譜,,,LR,万物を裁く力の証明.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
絶対的な強さ ジレン,奇跡の覚醒,,,UR,絶対的な強さ.png,超速|極速
LR 猛威を振るう凶悪サイヤ人 ナッパ/ベジータ,地球育ちの戦士,,,LR,猛威を振るう凶悪サイヤ人.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 人造人間たちの旅 人造人間17号&18号/人造人間16号,人造人間,,,LR,人造人間たちの旅.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
標的抹殺の回路 人造人間13号,超サイヤ人,,,UR,標的抹殺の回路.png,超速|超技|超知|超力
LR 黄金色の拳 超サイヤ人3孫悟空,復活戦士,,,LR,黄金色の拳.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
"LR 逆転の兆し 孫悟空(身勝手の極意""兆"")",宇宙サバイバル編,,,LR,逆転の兆し.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
限界を突破した高み ケフラ,大会出場者,,,UR,限界を突破した高み.png,超速|超技|超知|超力|極速|極技
LR バンパでの新たな生活 ブロリー&チライ&レモ,劇場版HERO,,,LR,バンパでの新たな生活.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 真の極意 孫悟空(身勝手の極意),宇宙をわたる戦士,,,LR,真の極意.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 真の戦闘民族 超サイヤ人ゴッドSSベジータ(進化),最後の切り札,,,LR,真の戦闘民族.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
執念の秘策 超ベジータ,人造人間/セル編,,,UR,執念の秘策.png,超速|極速|極技|極知
LR 果てしない力の凌駕 超サイヤ人ゴッドSS孫悟空(界王拳)&超サイヤ人ゴッドSSベジータ(進化),神次元,,,LR,果てしない力の凌駕.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
怒涛の反撃 バーダック,恐怖の征服,,,UR,怒涛の反撃.png,極速|極技|極知|極力|極体
メチャすごい合体パワー ゴテンクス,天界の出来事,,,UR,メチャすごい合体パワー.png,超速|超力|超体|極速|極技|極知|極力|極体
LR ひとつに重なった希望 孫悟空&ベジータ(天使),人工生命体,,,LR,ひとつに重なった希望.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 無敵の吸収形態 魔人ブウ(ゴテンクス吸収形態),頭脳戦,,,LR,無敵の吸収形態.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
善と悪の分裂 魔人ブウ(善)/魔人ブウ(純粋悪),時間制限,,,UR,善と悪の分裂.png,超速|超技|超知|超体|極知
限界以上に極められた力 孫悟飯(青年期),世界の混乱,,,UR,限界以上に極められた力.png,極速|極技|極知|極力|極体
LR 第7宇宙の総力戦 人造人間17号(第7宇宙チーム),コンビネーション,,,LR,第7宇宙の総力戦.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 残された最後の可能性 ゴールデンフリーザ(天使)&人造人間17号,変身強化,,,LR,残された最後の可能性.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
第7宇宙代表,第7宇宙代表,,,UR,第7宇宙代表.png,超速|超技|超知|超体|極速|極技|極知|極体
LR 強者の威光 ジレン(フルパワー),奇跡の覚醒,,,LR,強者の威光.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
愛と友情の仲間 ビーデル,地球人,,,UR,愛と友情の仲間.png,超速|超技|超知|超力|超体|極速
ヒロインコレクション編,ピチピチギャル,,,UR,ヒロインコレクション編4.png,超速|超技|超知|超力|極速|極技|極知|極力
LR 宇宙一の壊し屋 ターレス軍団,孫悟空の系譜,,,LR,宇宙一の壊し屋.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
本能のままの破壊 伝説の超サイヤ人ブロリー,地球育ちの戦士,,,UR,本能のままの破壊.png,超速|超技|超体|極速|極技|極体
LR 悪夢の震撼 超サイヤ人ブロリー,親子の絆,,,LR,悪夢の震撼.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
小さな超戦士たち 超サイヤ人トランクス(幼年期)&超サイヤ人孫悟天(幼年期),人工生命体,,,UR,小さな超戦士たち.png,超力|極速|極技|極知|極力|極体
LR 火を噴く邪心 スーパージャネンバ,つながる希望,,,LR,火を噴く邪心.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 進退窮まる闘い クリリン&孫悟飯(幼年期),ドラゴンボールを求めし者,,,LR,進退窮まる闘い.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 復活のフュージョン 孫悟空(天使)&ベジータ(天使),劇場版BOSS,,,LR,復活のフュージョン.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR サイヤ人の誇り ベジータ/孫悟空,最凶の一族,,,LR,サイヤ人の誇り.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
殺戮の覇王 ボージャック,託された意志,,,UR,殺戮の覇王.png,超速|超技|超知|超力|超体
LR カカロットとの約束 超サイヤ人2ベジータ(天使),高速戦闘,,,LR,カカロットとの約束.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
宿命のライバル編6,魔人ブウ編,,,UR,宿命のライバル編6.png,超速|超知|超力|超体|極知|極体
破滅を導く魔人 魔人ブウ(純粋),純粋サイヤ人,,,UR,破滅を導く魔人.png,超速|超知|超力|超体
宇宙の明日を守る闘い 超サイヤ人2孫悟空,魔人の力,,,UR,宇宙の明日を守る闘い.png,極速|極技|極知|極力|極体
LR 怨恨の咆哮 フリーザ(フルパワー),ナメック星編,,,LR,怨恨の咆哮.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 無限パワーの神戦士 超サイヤ人ゴッド孫悟空&超サイヤ人ゴッドベジータ,超BOSS,,,LR,無限パワーの神戦士.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 究極パワーのサイヤ人戦士 超サイヤ人4孫悟空&超サイヤ人4ベジータ,悪逆非道,,,LR,究極パワーのサイヤ人戦士.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 宿命のライバル編7,命運をかけた闘い,,,LR,宿命のライバル編7.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
LR 全ての怒りを込めた一撃 超サイヤ人孫悟空,最凶の一族,,,LR,全ての怒りを込めた一撃.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
宿命のライバル編8,力の吸収,,,UR,宿命のライバル編8.png,極速|極技|極知|極力|極体
ドラゴンボールをめぐる冒険 孫悟空(少年期),恐怖の征服,,,UR,ドラゴンボールをめぐる冒険.png,極速|極技|極知|極力|極体
人造人間/セル編,人造人間/セル編,,,UR,人造人間セル編.png,超速|超技|極速|極技|極知
あの世編,あの世の戦士,,,UR,あの世編.png,超速|超技|超知|超体|極技|極知|極体
友情の奇跡 カリフラ&ケール,第7宇宙代表,,,UR,友情の奇跡.png,超技|超知|超力|超体|極技
LR 超絶光速バトル勃発 ヒット&超サイヤ人ゴッド孫悟空,高速戦闘,,,LR,超絶光速バトル勃発.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
隊長のとっておき ギニュー,ナメック星編,,,UR,隊長のとっておき.png,超速|超技|超知|超力|超体|極速
地球屈指の精鋭 ヤムチャ,サイヤ人編,,,UR,地球屈指の精鋭.png,超体|極速|極技|極知|極力|極体
LR 理想の世界の始まり 合体ザマス,未来編,,,LR,理想の世界の始まり.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
