boss_name,categories,series,notes,rarity,image
"LR 逆転の兆し 孫悟空(身勝手の極意""兆"")",宇宙サバイバル編,,,LR,逆転の兆し.png
限界を突破した高み ケフラ,大会出場者,,,UR,限界を突破した高み.png
LR バンパでの新たな生活 ブロリー&チライ&レモ,劇場版HERO,,,LR,バンパでの新たな生活.png
LR 真の極意 孫悟空(身勝手の極意),宇宙をわたる戦士,,,LR,真の極意.png
LR 真の戦闘民族 超サイヤ人ゴッドSSベジータ(進化),最後の切り札,,,LR,真の戦闘民族.png
執念の秘策 超ベジータ,人造人間/セル編,,,UR,執念の秘策.png
LR 果てしない力の凌駕 超サイヤ人ゴッドSS孫悟空(界王拳)&超サイヤ人ゴッドSSベジータ(進化),神次元,,,LR,果てしない力の凌駕.png
怒涛の反撃 バーダック,恐怖の征服,,,UR,怒涛の反撃.png
メチャすごい合体パワー ゴテンクス,天界の出来事,,,UR,メチャすごい合体パワー.png
LR ひとつに重なった希望 孫悟空&ベジータ(天使),人工生命体,,,LR,ひとつに重なった希望.png
LR 無敵の吸収形態 魔人ブウ(ゴテンクス吸収形態),頭脳戦,,,LR,無敵の吸収形態.png
善と悪の分裂 魔人ブウ(善)/魔人ブウ(純粋悪),時間制限,,,UR,善と悪の分裂.png
限界以上に極められた力 孫悟飯(青年期),世界の混乱,,,UR,限界以上に極められた力.png
LR 第7宇宙の総力戦 人造人間17号(第7宇宙チーム),コンビネーション,,,LR,第7宇宙の総力戦.png
LR 残された最後の可能性 ゴールデンフリーザ(天使)&人造人間17号,変身強化,,,LR,残された最後の可能性.png
第7宇宙代表,第7宇宙代表,,,UR,第7宇宙代表.png
LR 強者の威光 ジレン(フルパワー),奇跡の覚醒,,,LR,強者の威光.png
愛と友情の仲間 ビーデル,地球人,,,UR,愛と友情の仲間.png
ヒロインコレクション編,ピチピチギャル,,,UR,ヒロインコレクション編4.png
LR 宇宙一の壊し屋 ターレス軍団,孫悟空の系譜,,,LR,宇宙一の壊し屋.png
本能のままの破壊 伝説の超サイヤ人ブロリー,地球育ちの戦士,,,UR,本能のままの破壊.png
LR 悪夢の震撼 超サイヤ人ブロリー,親子の絆,,,LR,悪夢の震撼.png
小さな超戦士たち 超サイヤ人トランクス(幼年期)&超サイヤ人孫悟天(幼年期),人工生命体,,,UR,小さな超戦士たち.png
LR 火を噴く邪心 スーパージャネンバ,つながる希望,,,LR,火を噴く邪心.png
LR 進退窮まる闘い クリリン&孫悟飯(幼年期),ドラゴンボールを求めし者,,,LR,進退窮まる闘い.png
LR 復活のフュージョン 孫悟空(天使)&ベジータ(天使),劇場版BOSS,,,LR,復活のフュージョン.png
LR サイヤ人の誇り ベジータ/孫悟空,最凶の一族,,,LR,サイヤ人の誇り.png
殺戮の覇王 ボージャック,託された意志,,,UR,殺戮の覇王.png
LR カカロットとの約束 超サイヤ人2ベジータ(天使),高速戦闘,,,LR,カカロットとの約束.png
宿命のライバル編6,魔人ブウ編,,,UR,宿命のライバル編6.png
破滅を導く魔人 魔人ブウ(純粋),純粋サイヤ人,,,UR,破滅を導く魔人.png
宇宙の明日を守る闘い 超サイヤ人2孫悟空,魔人の力,,,UR,宇宙の明日を守る闘い.png
LR 怨恨の咆哮 フリーザ(フルパワー),ナメック星編,,,LR,怨恨の咆哮.png
LR 無限パワーの神戦士 超サイヤ人ゴッド孫悟空&超サイヤ人ゴッドベジータ,超BOSS,,,LR,無限パワーの神戦士.png
LR 究極パワーのサイヤ人戦士 超サイヤ人4孫悟空&超サイヤ人4ベジータ,悪逆非道,,,LR,究極パワーのサイヤ人戦士.png
LR 宿命のライバル編7,命運をかけた闘い,,,LR,宿命のライバル編7.png
LR 全ての怒りを込めた一撃 超サイヤ人孫悟空,最凶の一族,,,LR,全ての怒りを込めた一撃.png
宿命のライバル編8,力の吸収,,,UR,宿命のライバル編8.png
ドラゴンボールをめぐる冒険 孫悟空(少年期),恐怖の征服,,,UR,ドラゴンボールをめぐる冒険.png
人造人間/セル編,人造人間/セル編,,,UR,人造人間セル編.png
あの世編,あの世の戦士,,,UR,あの世編.png
友情の奇跡 カリフラ&ケール,第7宇宙代表,,,UR,友情の奇跡.png
LR 超絶光速バトル勃発 ヒット&超サイヤ人ゴッド孫悟空,高速戦闘,,,LR,超絶光速バトル勃発.png
隊長のとっておき ギニュー,ナメック星編,,,UR,隊長のとっておき.png
地球屈指の精鋭 ヤムチャ,サイヤ人編,,,UR,地球屈指の精鋭.png
LR 理想の世界の始まり 合体ザマス,未来編,,,LR,理想の世界の始まり.png
