boss_name,categories,series,notes,rarity,image
DBフュージョンズ編2,,,,UR,DBフュージョンズ編2.png
LR 希望の星 トランクス(幼年期)&孫悟天(幼年期),,,,LR,超サイヤ人4ゴジータVS超一星龍.png
宿命のライバル編4,,,,UR,宿命のライバル編4.png
超サイヤ人4ゴジータVS超一星龍,,,,UR,超サイヤ人4ゴジータVS超一星龍.png
LR ふたつの力の融合 超サイヤ人孫悟空(天使)&超サイヤ人ベジータ(天使),,,,LR,ふたつの力の融合.png
LR 合体する超パワー 超サイヤ人孫悟空&超サイヤ人ベジータ,,,,LR,合体する超パワー.png
LR 宿命のライバル編5,,,,LR,宿命のライバル編5.png
誇りの遵守 超サイヤ人ゴッドSSベジータ,,,,UR,誇りの遵守.png
LR ドッカンオールスター,,,,LR,ドッカンオールスター.png
爆発的な進化 ターレス,,,,UR,爆発的な進化.png
潜在パワーのすべて アルティメット孫悟飯,,,,UR,潜在パワーのすべて.png
LR 死を呼ぶセルゲーム セル(完全体)&セルジュニア,,,,LR,死を呼ぶセルゲーム.png
帝王の真の輝き ゴールデンフリーザ(天使),,,,UR,帝王の真の輝き.png
青き合体と薔薇色の超サイヤ人,,,,UR,青き合体と薔薇色の超サイヤ人.png
LR 未来への希望と約束 トランクス(青年期)(未来)&マイ(未来),,,,LR,未来への希望と約束.png
LR 容赦なき断罪 ゴクウブラック(超サイヤ人ロゼ)&ザマス,,,,LR,容赦なき断罪.png
希望を背負った一撃 超フルパワーサイヤ人4孫悟空,,,,UR,希望を背負った一撃.png
LR まだまだ続くアドベンチャー 孫悟空(GT)&パン(GT)&トランクス(GT),,,,LR,まだまだ続くアドベンチャー.png
ヒロインコレクション編2,,,,UR,ヒロインコレクション編2.png
極限の怒り 孫悟空,,,,UR,極限の怒り.png
LR 生き残りをかけた最終攻撃 フリーザ(フルパワー),,,,LR,生き残りをかけた最終攻撃.png
ビッグゲテスターとの融合 メタルクウラ,,,,UR,ビッグゲテスターとの融合.png
とびっきりの究極パワー クウラ,,,,UR,とびっきりの究極パワー.png
すべてをかけた拳 孫悟空(少年期),,,,UR,すべてをかけた拳.png
サイヤ人の力の証明 超サイヤ人3バーダック,,,,UR,サイヤ人の力の証明.png
LR 銀河ギリギリの侵略 フルパワーボージャック(銀河戦士),,,,LR,銀河ギリギリの侵略.png
全てを超えた最強の融合 超サイヤ人ゴジータ,,,,UR,全てを超えた最強の融合.png
戦闘民族の終わりなき進化 超サイヤ人ブロリー,,,,UR,戦闘民族の終わりなき進化.png
神次元の闘い編,,,,UR,神次元の戦い編.png
LR 目覚める真の力 超サイヤ人孫悟飯(少年期),,,,LR,目覚める真の力.png
LR 完全体の真価 セル(完全体),,,,LR,完全体の真価.png
LR よみがえる伝説 超サイヤ人ゴッド孫悟空,,,,LR,よみがえる伝説.png
無限の輝き 超ベジット,,,,UR,無限の輝き.png
驚異の吸収能力 魔人ブウ(悪),,,,UR,驚異の吸収能力.png
LR 奇跡を起こす超サイヤ人 超サイヤ人孫悟空,,,,LR,奇跡を起こす超サイヤ人.png
とっておきの超パワー 超サイヤ人ゴッドSS孫悟空(界王拳),,,,UR,とっておきの超パワー.png
LR 究極最強の融合 ゴジータ,,,,LR,究極最強の融合.png
LR 究極無敵の合体 ベジット,,,,LR,究極無敵の合体.png
LR 破壊による世界調和 ビルス&ウイス,,,,LR,破壊による世界調和.png
死力を尽くしたサバイバル 人造人間17号,,,,UR,死力を尽くしたサバイバル.png
LR ふたりは全宇宙最強 超サイヤ人2カリフラ&超サイヤ人2ケール,,,,LR,ふたりは全宇宙最強.png
神と大魔王の融合 ピッコロ,,,,UR,神と大魔王の融合.png
LR 奇跡を呼ぶ大激闘 超サイヤ人孫悟飯(青年期)&超サイヤ人孫悟天(幼年期),,,,LR,奇跡を呼ぶ大激闘.png
激情の破壊神 ビルス,,,,UR,激情の破壊神.png
GT編,,,,UR,GT編.png
限りない戦闘力 超サイヤ人ベジータ,,,,UR,限りない戦闘力.png
ヒロインコレクション編3,,,,UR,ヒロインコレクション編3.png
LR 究極の邪悪生命体 スーパーベビー2（大猿ベビー),,,,LR,究極の邪悪生命体.png
未来を守る強靭な意思 トランクス(青年期)(未来),,,,UR,未来を守る強靭な意思.png
神の真の力 ザマス,,,,UR,神の真の力.png
義勇の戦士 孫悟飯(未来),,,,UR,義勇の戦士.png
未来編,,,,UR,未来編.png
気高き美しさの頂点 ゴクウブラック,,,,UR,気高き美しさの頂点.png
LR 万物を裁く力の証明,,,,LR,万物を裁く力の証明.png
絶対的な強さ ジレン,,,,UR,絶対的な強さ.png
LR 猛威を振るう凶悪サイヤ人 ナッパ/ベジータ,,,,LR,猛威を振るう凶悪サイヤ人.png
LR 人造人間たちの旅 人造人間17号&18号/人造人間16号,,,,LR,人造人間たちの旅.png
標的抹殺の回路 人造人間13号,,,,UR,標的抹殺の回路.png
LR 黄金色の拳 超サイヤ人3孫悟空,,,,LR,黄金色の拳.png
"LR 逆転の兆し 孫悟空(身勝手の極意""兆"")",,,,LR,逆転の兆し.png
限界を突破した高み ケフラ,,,,UR,限界を突破した高み.png
LR バンパでの新たな生活 ブロリー&チライ&レモ,,,,LR,バンパでの新たな生活.png
LR 真の極意 孫悟空(身勝手の極意),,,,LR,真の極意.png
LR 真の戦闘民族 超サイヤ人ゴッドSSベジータ(進化),,,,LR,真の戦闘民族.png
執念の秘策 超ベジータ,,,,UR,執念の秘策.png
LR 果てしない力の凌駕 超サイヤ人ゴッドSS孫悟空(界王拳)&超サイヤ人ゴッドSSベジータ(進化),,,,LR,果てしない力の凌駕.png
怒涛の反撃 バーダック,,,,UR,怒涛の反撃.png
メチャすごい合体パワー ゴテンクス,,,,UR,メチャすごい合体パワー.png
LR ひとつに重なった希望 孫悟空&ベジータ(天使),,,,LR,ひとつに重なった希望.png
LR 無敵の吸収形態 魔人ブウ(ゴテンクス吸収形態),,,,LR,無敵の吸収形態.png
善と悪の分裂 魔人ブウ(善)/魔人ブウ(純粋悪),,,,UR,善と悪の分裂.png
限界以上に極められた力 孫悟飯(青年期),,,,UR,限界以上に極められた力.png
LR 第7宇宙の総力戦 人造人間17号(第7宇宙チーム),,,,LR,第7宇宙の総力戦.png
LR 残された最後の可能性 ゴールデンフリーザ(天使)&人造人間17号,,,,LR,残された最後の可能性.png
第7宇宙代表,,,,UR,第7宇宙代表.png
LR 強者の威光 ジレン(フルパワー),,,,LR,強者の威光.png
愛と友情の仲間 ビーデル,,,,UR,愛と友情の仲間.png
ヒロインコレクション編,,,,UR,ヒロインコレクション編4.png
LR 宇宙一の壊し屋 ターレス軍団,,,,LR,宇宙一の壊し屋.png
本能のままの破壊 伝説の超サイヤ人ブロリー,,,,UR,本能のままの破壊.png
LR 悪夢の震撼 超サイヤ人ブロリー,,,,LR,悪夢の震撼.png
小さな超戦士たち 超サイヤ人トランクス(幼年期)&超サイヤ人孫悟天(幼年期),,,,UR,小さな超戦士たち.png
LR 火を噴く邪心 スーパージャネンバ,,,,LR,火を噴く邪心.png
LR 進退窮まる闘い クリリン&孫悟飯(幼年期),,,,LR,進退窮まる闘い.png
LR 復活のフュージョン 孫悟空(天使)&ベジータ(天使),,,,LR,復活のフュージョン.png
LR サイヤ人の誇り ベジータ/孫悟空,,,,LR,サイヤ人の誇り.png
殺戮の覇王 ボージャック,,,,UR,殺戮の覇王.png
LR カカロットとの約束 超サイヤ人2ベジータ(天使),,,,LR,カカロットとの約束.png
宿命のライバル編6,,,,UR,宿命のライバル編6.png
破滅を導く魔人 魔人ブウ(純粋),,,,UR,破滅を導く魔人.png
宇宙の明日を守る闘い 超サイヤ人2孫悟空,,,,UR,宇宙の明日を守る闘い.png
LR 怨恨の咆哮 フリーザ(フルパワー),,,,LR,怨恨の咆哮.png
LR 無限パワーの神戦士 超サイヤ人ゴッド孫悟空&超サイヤ人ゴッドベジータ,,,,LR,無限パワーの神戦士.png
LR 究極パワーのサイヤ人戦士 超サイヤ人4孫悟空&超サイヤ人4ベジータ,,,,LR,究極パワーのサイヤ人戦士.png
LR 宿命のライバル編7,,,,LR,宿命のライバル編7.png
LR 全ての怒りを込めた一撃 超サイヤ人孫悟空,,,,LR,全ての怒りを込めた一撃.png
宿命のライバル編8,,,,UR,宿命のライバル編8.png
ドラゴンボールをめぐる冒険 孫悟空(少年期),,,,UR,ドラゴンボールをめぐる冒険.png
人造人間/セル編,,,,UR,人造人間セル編.png
あの世編,,,,UR,あの世編.png
友情の奇跡 カリフラ&ケール,,,,UR,友情の奇跡.png
LR 超絶光速バトル勃発 ヒット&超サイヤ人ゴッド孫悟空,,,,LR,超絶光速バトル勃発.png
隊長のとっておき ギニュー,,,,UR,隊長のとっておき.png
地球屈指の精鋭 ヤムチャ,,,,UR,地球屈指の精鋭.png
LR 理想の世界の始まり 合体ザマス,,,,LR,理想の世界の始まり.png
